line_index,raw_line,subframe_index,start_byte,end_byte,uid,pdu_hex,crc_calc,valid
477,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B 8C 8C 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,53,59,1,03 02 00 7C,A5B9,OK
479,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
481,01 03 24 00 00 54 EF 00 00 55 16 00 00 53 E2 00 02 E8 64 00 02 EA 14 00 02 E8 E5 00 05 0A 23 00 05 0B C8 00 05 09 F0 AC 8C 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 54 EF 00 00 55 16 00 00 53 E2 00 02 E8 64 00 02 EA 14 00 02 E8 E5 00 05 0A 23 00 05 0B C8 00 05 09 F0,8CAC,OK
481,01 03 24 00 00 54 EF 00 00 55 16 00 00 53 E2 00 02 E8 64 00 02 EA 14 00 02 E8 E5 00 05 0A 23 00 05 0B C8 00 05 09 F0 AC 8C 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
483,01 03 20 00 12 DD 9B 00 00 00 00 00 12 E2 E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E2 26 36 4A 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 DD 9B 00 00 00 00 00 12 E2 E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E2 26,4A36,OK
483,01 03 20 00 12 DD 9B 00 00 00 00 00 12 E2 E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E2 26 36 4A 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
489,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,0,7,1,03 61 B4 00 01,D0DB,OK
489,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,8,14,1,03 02 00 7C,A5B9,OK
491,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
493,01 03 24 00 00 54 D6 00 00 54 E4 00 00 53 53 00 02 E7 43 00 02 E9 E0 00 02 E9 87 00 05 08 45 00 05 0C E1 00 05 09 7D 45 F3 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 54 D6 00 00 54 E4 00 00 53 53 00 02 E7 43 00 02 E9 E0 00 02 E9 87 00 05 08 45 00 05 0C E1 00 05 09 7D,F345,OK
493,01 03 24 00 00 54 D6 00 00 54 E4 00 00 53 53 00 02 E7 43 00 02 E9 E0 00 02 E9 87 00 05 08 45 00 05 0C E1 00 05 09 7D 45 F3 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
495,01 03 20 00 12 CF FF 00 00 00 00 00 12 D4 8E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D1 A8 89 E2 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 CF FF 00 00 00 00 00 12 D4 8E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D1 A8,E289,OK
495,01 03 20 00 12 CF FF 00 00 00 00 00 12 D4 8E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D1 A8 89 E2 01 03 00 A6 00 24 A5 F2,1,37,44,1,03 00 A6 00 24,F2A5,OK
499,03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B F8 4A 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,45,52,1,03 61 B4 00 01,D0DB,OK
499,03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B F8 4A 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,53,59,1,03 02 00 7C,A5B9,OK
501,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
503,01 03 24 00 00 54 12 00 00 54 1E 00 00 53 6C 00 02 E4 78 00 02 E7 F1 00 02 E8 DB 00 05 03 21 00 05 0B 73 00 05 06 B6 8F 29,0,0,40,1,03 24 00 00 54 12 00 00 54 1E 00 00 53 6C 00 02 E4 78 00 02 E7 F1 00 02 E8 DB 00 05 03 21 00 05 0B 73 00 05 06 B6,298F,OK
505,01 03 00 66 00 10 A4 19,0,0,7,1,03 00 66 00 10,19A4,OK
507,01 03 20 00 12 B0 AC 00 00 00 00 00 12 B1 B6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 63 AE 2C 74,0,0,36,1,03 20 00 12 B0 AC 00 00 00 00 00 12 B1 B6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 63 AE,742C,OK
509,01 03 00 A6 00 24 A5 F2,0,0,7,1,03 00 A6 00 24,F2A5,OK
515,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,0,7,1,03 61 B4 00 01,D0DB,OK
515,01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,8,14,1,03 02 00 7C,A5B9,OK
517,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
519,01 03 24 00 00 54 9E 00 00 54 BB 00 00 53 D7 00 02 E8 99 00 02 E9 AC 00 02 E9 21 00 05 09 BE 00 05 0B 6D 00 05 0A BC C3 7D 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 54 9E 00 00 54 BB 00 00 53 D7 00 02 E8 99 00 02 E9 AC 00 02 E9 21 00 05 09 BE 00 05 0B 6D 00 05 0A BC,7DC3,OK
519,01 03 24 00 00 54 9E 00 00 54 BB 00 00 53 D7 00 02 E8 99 00 02 E9 AC 00 02 E9 21 00 05 09 BE 00 05 0B 6D 00 05 0A BC C3 7D 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
521,01 03 20 00 12 D5 AA 00 00 00 00 00 12 D7 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 83 E8 94 34,0,0,36,1,03 20 00 12 D5 AA 00 00 00 00 00 12 D7 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 83 E8,3494,OK
523,01 03 00 A6 00 24 A5 F2,0,0,7,1,03 00 A6 00 24,F2A5,OK
527,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B C6 5F 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,0,45,52,1,03 61 B4 00 01,D0DB,OK
527,03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8B C6 5F 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5,1,53,59,1,03 02 00 7C,A5B9,OK
529,01 03 00 10 00 12 C4 02,0,0,7,1,03 00 10 00 12,02C4,OK
531,01 03 24 00 00 55 07 00 00 55 13 00 00 54 49 00 02 E8 94 00 02 E9 BD 00 02 E8 A5 00 05 0A 14 00 05 0A FB 00 05 0A 16 80 2F 01 03 00 66 00 10 A4 19,0,0,40,1,03 24 00 00 55 07 00 00 55 13 00 00 54 49 00 02 E8 94 00 02 E9 BD 00 02 E8 A5 00 05 0A 14 00 05 0A FB 00 05 0A 16,2F80,OK
531,01 03 24 00 00 55 07 00 00 55 13 00 00 54 49 00 02 E8 94 00 02 E9 BD 00 02 E8 A5 00 05 0A 14 00 05 0A FB 00 05 0A 16 80 2F 01 03 00 66 00 10 A4 19,1,41,48,1,03 00 66 00 10,19A4,OK
533,01 03 20 00 12 E6 66 00 00 00 00 00 12 EB 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D5 77 9F BD 01 03 00 A6 00 24 A5 F2,0,0,36,1,03 20 00 12 E6 66 00 00 00 00 00 12 EB 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D5 77,BD9F,OK
